"id","adage","owner","keywords","language","created_at","updated_at"
"690","Her azizin bir geçmişi, her günahkârın bir geleceği vardır.","Oscar Wilde","Amaç, Vazgeçmemek, Yaşam","1","2022-05-02 20:33:03","2022-05-02 20:33:03"
"700","Kişinin bir şeyler yapma veya olma kudretini fark etmesi kadar korkunç bir şey yoktur.","Søren Kierkegaard","kudret, güç, olmak, yapmak, gelişim","1","2023-11-15 07:54:43","2023-11-15 07:54:43"
"701","Yapılan şeyler için pişmanlık zamanla geçer; ama pişman olurum diye yapmadıklarımız ömür boyu sürer.","Seneca","pişmanlık, yaşam, zaman, bilgelik","1","2024-02-14 09:57:39","2024-02-14 09:57:39"
"702","Yorgunluk bir zihin yanılsamasıdır, hedefleri ve hayalleri olmadan yaşayanların hayatına yorgunluk hükmeder.","R. Sharma","motivasyon, yorgunluk, hedef, hayal, enerji","1","2024-02-18 14:59:46","2024-02-18 14:59:46"
"703","Korku, gerçeğe yaklaşmanın doğal bir tepkisidir.","Pema Chodron","korku, gerçek, yaşam, tepki","1","2024-02-18 17:28:43","2024-02-18 17:28:43"
"704","Tecrübemiz çoğu zamanlarda göstermektedir ki, insanların en az söz geçirebildikleri şey, kendi dilleridir.","Baruch Spinoza","tecrübe, özdisiplin","1","2024-02-19 12:29:01","2024-02-19 12:29:01"
"705","Düşünüyorum, öyleyse varım.","René Descartes","varlık, varoluş, düşünmek","1","2024-02-19 15:32:27","2024-02-19 15:32:27"
"706","Algılarını, isteklerini ve içgüdülerini sona erdirirsen ruhun özgürdür.","Marcus Aurelius","arzu, istek, algı, özgürlük","1","2024-02-19 15:34:53","2024-02-19 15:34:53"
"707","Ne kadar beyaz kuğu gözlemlemiş olursak olalım, bu, tüm kuğuların beyaz olduğu sonucunu haklı çıkarmaz.","Karl Popper","gözlem, gerçek, bakış açısı, inanç","1","2024-02-19 15:37:15","2024-02-19 15:37:15"
"708","Erdem özgürlük gerektirir.","Voltaire","mükemmellik, iyi, düşman, voltaire, gayret","1","2024-02-19 06:19:20","2024-02-19 06:19:20"
"709","Hayret etmek bir filozofun hissidir ve felsefe hayret etmekle başlar.","Sokrates
","felsefe, hayret, merak","1","2024-02-19 15:39:37","2024-02-19 15:39:37"
