id,owner,adage,keywords,language,created_at,updated_at
630,"Arthur Schopenhauer","Bilgeler ve onurlu yaşayanlar hep acı çekecektir.","Mutluluk, Bilgelik",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
640,"Isaac Newton","Herkesten daha ilerisini görebildiysem, devlerin omuzlarında durduğum içindir.","Emek, Çaba, Çalışkanlık",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
650,"William Wately","Sabahtan kaybettiğin bir saatin bütün gün zararını çekersin.","zaman, zaman yönetimi, uyku, erken kalkmak, verimlilik",1,"2022-05-02 20:33:03","2023-01-09 10:59:37"
660,"Immanuel Kant","İnsandan ümit ve uykuyu alın, onu dünyanın en bahtsız ve en perişan insanı haline getirmiş olursunuz.","uyku, ümit, baht, insan, perişan",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
670,Anonim,"Geminin içi su almadığı müddetçe, sonsuz büyüklükteki deniz o gemiyi batıramaz. Siz zihninize girmesine izin vermediğiniz müddetçe, olumsuzluklar da sizi yıkamaz.","Amaç, Düşünce, Gelecek, Mutluluk, Yaşam, Çalışma",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
680,Kanada,"Sebebin yokluğu sonucun yokluğudur, ancak sonucun yokluğu sebebin yokluğu anlamına gelmez. Sebepler her zaman potansiyel sonuç doğurur.","Bilgelik, Hedef, Çalışma",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
690,"Oscar Wilde","Her azizin bir geçmişi, her günahkârın bir geleceği vardır.","Amaç, Vazgeçmemek, Yaşam",1,"2022-05-02 20:33:03","2022-05-02 20:33:03"
700,"Søren Kierkegaard","Kişinin bir şeyler yapma veya olma kudretini fark etmesi kadar korkunç bir şey yoktur.","kudret, güç, olmak, yapmak, gelişim",1,"2023-11-15 07:54:43","2023-11-15 07:54:43"
701,Seneca,"Yapılan şeyler için pişmanlık zamanla geçer; ama pişman olurum diye yapmadıklarımız ömür boyu sürer.","pişmanlık, yaşam, zaman, bilgelik",1,"2024-02-14 09:57:39","2024-02-14 09:57:39"
702,"R. Sharma","Yorgunluk bir zihin yanılsamasıdır, hedefleri ve hayalleri olmadan yaşayanların hayatına yorgunluk hükmeder.","motivasyon, yorgunluk, hedef, hayal, enerji",1,"2024-02-18 14:59:46","2024-02-18 14:59:46"
703,"Pema Chodron","Korku, gerçeğe yaklaşmanın doğal bir tepkisidir.","korku, gerçek, yaşam, tepki",1,"2024-02-18 17:28:43","2024-02-18 17:28:43"
704,"Baruch Spinoza","Tecrübemiz çoğu zamanlarda göstermektedir ki, insanların en az söz geçirebildikleri şey, kendi dilleridir.","tecrübe, özdisiplin",1,"2024-02-19 12:29:01","2024-02-19 12:29:01"
705,"René Descartes","Düşünüyorum, öyleyse varım.","varlık, varoluş, düşünmek",1,"2024-02-19 15:32:27","2024-02-19 15:32:27"
706,"Marcus Aurelius","Algılarını, isteklerini ve içgüdülerini sona erdirirsen ruhun özgürdür.","arzu, istek, algı, özgürlük",1,"2024-02-19 15:34:53","2024-02-19 15:34:53"
707,"Karl Popper","Ne kadar beyaz kuğu gözlemlemiş olursak olalım, bu, tüm kuğuların beyaz olduğu sonucunu haklı çıkarmaz.","gözlem, gerçek, bakış açısı, inanç",1,"2024-02-19 15:37:15","2024-02-19 15:37:15"
